,objective,metric,boosting_type,boost_from_average,num_threads,random_state,num_leaves,min_data_in_leaf,min_child_weight,max_depth,bagging_fraction,feature_fraction,lambda_l1,lambda_l2,logloss
24,binary,binary_logloss,gbdt,True,4,42,258,134,0.0376862755330423,55,0.8615805629367488,0.8819344532779533,0.4067309555746727,1.4595870289042119,0.4250795664976979
25,binary,binary_logloss,gbdt,True,4,42,420,167,0.016557662961213332,31,0.7303240684072704,0.7747944379764432,0.20369801055028844,1.9670990035377296,0.42256619076745144
26,binary,binary_logloss,gbdt,True,4,42,141,184,0.007878198987813757,47,0.787174637438438,0.6547871637213813,0.5920944663769796,0.6664607556947656,0.42107927856188715
27,binary,binary_logloss,gbdt,True,4,42,113,186,0.007315908827844006,47,0.7928040516028901,0.6580751237882703,0.6295544736941785,0.6237995367732494,0.42195670059113694
28,binary,binary_logloss,gbdt,True,4,42,179,148,0.0028619482661699316,71,0.852193980166748,0.7099344761342266,1.0821561830074906,0.3720368267435162,0.422940941772109
29,binary,binary_logloss,gbdt,True,4,42,251,184,0.003601053691396266,57,0.9368620881204238,0.7991074868944903,0.9504724593163659,1.0948504848781544,0.42237639040837927
30,binary,binary_logloss,gbdt,True,4,42,285,166,0.0047428621697710414,42,0.8155289663352362,0.7197159105382123,0.5942824899375447,0.7119835095991853,0.423184434589166
31,binary,binary_logloss,gbdt,True,4,42,67,187,0.0642438066698335,22,0.7563163256582454,0.5752462153876999,1.975364320189355,0.9142551537999634,0.42277769664707565
32,binary,binary_logloss,gbdt,True,4,42,385,200,0.007867125799262418,35,0.7101637627946935,0.5394560417953409,0.45950149866679796,1.5367955920225584,0.42303027298526286
33,binary,binary_logloss,gbdt,True,4,42,165,141,0.014445317026504912,66,0.6727439521321275,0.6509213740463105,0.5014696838983691,0.494687666142511,0.4221460515641716
34,binary,binary_logloss,gbdt,True,4,42,81,177,0.02039879323255183,76,0.8768176426500336,0.7609862404868376,0.2688036046779449,1.2163074339565993,0.42069013117410886
35,binary,binary_logloss,gbdt,True,4,42,472,162,0.029644785082360195,79,0.9053524274792253,0.7689517165747036,0.27548463774146725,1.7926245822974387,0.42270932983053433
36,binary,binary_logloss,gbdt,True,4,42,218,177,0.002058482018788825,73,0.8817697014508007,0.8201616498364884,0.3857027109863788,1.2262938750729155,0.4235153509131849
37,binary,binary_logloss,gbdt,True,4,42,108,121,0.0068628127784458835,89,0.9864852842775297,0.8491404277156388,0.2768380480121516,1.0503296696799609,0.42298380205934594
38,binary,binary_logloss,gbdt,True,4,42,188,143,0.010954910355361443,50,0.8205109219479825,0.6200947884646003,0.33624391485313176,0.7542403564171081,0.42332520694507236
39,binary,binary_logloss,gbdt,True,4,42,100,172,0.004341323111020303,65,0.9453729390757089,0.7446686256400433,0.18844654720618875,0.4222951791170504,0.4230195961254876
40,binary,binary_logloss,gbdt,True,4,42,497,190,0.0694690353169232,89,0.594249096771444,0.6804793615152598,0.7794823690400656,0.5763005501284847,0.4217606519710574
41,binary,binary_logloss,gbdt,True,4,42,68,157,0.018432734427051446,8,0.7081094916960858,0.5965031563213254,0.12333889993341159,1.2705678659855872,0.42466363410432734
